age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,existing_debt,num_credit_lines,loan_purpose,home_ownership,debt_to_income,default
56,50371.86,4.0,654,12887.11,24,10362.85,7,debt_consolidation,MORTGAGE,0.462,0
62,42510.47,0.3,703,29874.75,48,14089.37,2,debt_consolidation,RENT,1.034,0
43,57211.44,0.6,680,1000.0,60,16253.31,4,debt_consolidation,MORTGAGE,0.302,0
56,57589.87,3.4,446,30301.21,48,5002.5,3,debt_consolidation,RENT,0.613,1
34,60918.53,7.2,666,12302.65,48,332.3,5,medical,RENT,0.207,0
36,43426.28,0.5,696,20220.66,36,6034.29,5,auto,RENT,0.605,0
54,23921.29,4.9,637,18607.41,24,15850.85,5,debt_consolidation,MORTGAGE,1.44,0
21,55347.77,11.1,497,23023.69,36,0.0,6,debt_consolidation,MORTGAGE,0.416,1
40,33418.28,5.0,792,31080.8,24,12153.41,3,small_business,MORTGAGE,1.294,0
35,12801.81,1.0,722,18934.02,48,6854.09,4,small_business,MORTGAGE,2.014,0
31,14124.18,5.7,546,11920.68,48,9259.88,6,medical,MORTGAGE,1.5,1
55,,2.9,500,11660.49,36,88.0,8,education,OWN,0.181,1
22,39974.17,5.1,680,16754.37,24,10732.35,7,debt_consolidation,MORTGAGE,0.688,0
23,46497.51,1.1,657,8079.53,48,15589.78,2,home_improvement,RENT,0.509,1
51,19254.44,8.6,775,1000.0,24,629.91,5,debt_consolidation,RENT,0.085,0
47,70919.43,1.9,595,13432.73,24,6367.43,4,education,OWN,0.279,0
46,,4.1,658,12894.02,60,7717.74,2,home_improvement,RENT,0.614,0
38,64349.25,3.3,640,9867.72,24,12675.8,5,education,MORTGAGE,0.35,0
35,13534.7,,610,22574.46,24,0.0,4,debt_consolidation,RENT,1.668,1
42,81013.98,2.2,628,1269.44,36,4910.41,6,education,RENT,0.076,0
54,62150.31,5.8,669,23983.05,36,11133.09,5,debt_consolidation,RENT,0.565,0
40,42396.81,4.7,500,3625.07,48,10215.8,1,home_improvement,MORTGAGE,0.326,1
34,85743.12,5.8,622,17161.03,24,18548.42,3,home_improvement,RENT,0.416,0
39,80471.93,0.6,573,9659.21,36,6690.98,9,small_business,MORTGAGE,0.203,1
25,67393.6,1.5,752,10892.37,36,19940.18,5,medical,MORTGAGE,0.457,0
40,34636.34,0.8,727,11558.92,48,14764.73,4,debt_consolidation,MORTGAGE,0.76,0
45,65657.83,2.7,487,13371.13,60,9076.69,3,small_business,RENT,0.342,1
53,24190.77,0.1,641,14768.55,36,4462.28,5,home_improvement,RENT,0.795,0
62,58704.69,1.4,639,3015.44,60,0.0,4,debt_consolidation,RENT,0.051,0
63,38564.28,8.0,701,10343.73,36,15244.95,2,home_improvement,OWN,0.664,0
45,50305.37,7.5,736,23086.95,60,11622.35,1,small_business,MORTGAGE,0.69,0
48,75327.35,,694,25253.44,36,8973.35,1,small_business,OWN,0.454,0
52,24185.17,19.0,614,27953.64,36,16056.26,2,home_improvement,MORTGAGE,1.82,0
52,23103.16,0.2,632,11503.36,36,4340.28,5,small_business,RENT,0.686,0
32,32682.78,5.4,751,12557.35,60,7877.44,5,auto,RENT,0.625,0
22,72620.61,3.6,653,27078.2,48,8988.66,9,small_business,RENT,0.497,0
33,37632.2,15.9,588,13814.18,60,7575.63,5,medical,MORTGAGE,0.568,0
59,35365.97,0.5,703,21264.59,36,7959.58,2,small_business,RENT,0.826,0
26,81535.37,0.2,644,6434.3,36,18606.54,1,home_improvement,MORTGAGE,0.307,0
25,90780.37,5.5,523,11019.94,12,14332.23,2,debt_consolidation,MORTGAGE,0.279,0
37,52753.17,3.6,683,6298.07,24,4449.06,4,small_business,MORTGAGE,0.204,0
59,76578.78,1.4,700,13181.09,24,12760.37,7,auto,MORTGAGE,0.339,0
24,43843.63,3.9,644,21600.13,24,2627.69,4,medical,RENT,0.553,0
38,94583.97,0.7,632,17369.21,48,10031.5,1,debt_consolidation,MORTGAGE,0.29,1
45,22683.68,8.4,788,16133.65,60,9242.58,7,auto,RENT,1.119,0
28,68445.16,5.7,653,19627.31,60,12536.29,5,medical,RENT,0.47,0
49,44471.52,3.3,702,13941.61,36,11163.74,6,auto,OWN,0.565,0
31,41520.72,12.1,640,27609.94,48,9244.52,3,auto,OWN,0.888,0
37,25777.07,2.6,706,28426.04,36,4934.85,1,debt_consolidation,OWN,1.294,0
28,59229.16,18.9,619,10247.45,36,7731.59,3,debt_consolidation,MORTGAGE,0.304,0
24,95022.91,1.6,517,17693.13,60,0.0,6,home_improvement,RENT,0.186,1
26,74578.16,0.8,647,11727.94,36,5629.87,6,debt_consolidation,RENT,0.233,0
55,94850.25,13.7,668,13074.93,48,8093.47,2,auto,RENT,0.223,0
27,,2.0,796,5856.36,24,16539.75,4,auto,MORTGAGE,0.26,0
42,57555.81,1.9,536,19031.38,48,0.0,5,home_improvement,OWN,0.331,1
45,69959.41,8.7,744,13926.98,24,1699.38,4,debt_consolidation,RENT,0.223,0
43,,3.5,740,14703.09,24,16501.84,2,debt_consolidation,OWN,0.679,0
33,55083.67,3.7,753,21783.25,24,19962.21,5,debt_consolidation,MORTGAGE,0.758,0
52,38322.12,1.7,822,10741.91,36,0.0,6,debt_consolidation,MORTGAGE,0.28,0
26,66816.0,4.5,639,21780.46,36,9601.98,5,auto,OWN,0.47,0
45,,1.6,536,9387.97,60,1069.46,2,debt_consolidation,RENT,0.189,0
36,33129.66,4.8,681,10533.5,24,11636.91,4,home_improvement,RENT,0.669,0
53,45524.28,5.0,690,8995.15,12,9205.04,6,auto,OWN,0.4,0
48,64992.03,12.2,635,17745.0,60,6079.53,5,small_business,MORTGAGE,0.367,0
45,43216.51,0.5,734,25654.37,24,6543.63,4,debt_consolidation,RENT,0.745,0
62,26742.53,17.0,716,17315.14,24,6639.93,5,debt_consolidation,MORTGAGE,0.896,0
64,58075.09,2.8,730,28281.59,12,10930.19,5,debt_consolidation,MORTGAGE,0.675,0
57,51591.66,8.4,528,12683.32,24,674.91,7,home_improvement,RENT,0.259,0
37,75531.11,7.3,696,14708.83,24,6622.64,4,debt_consolidation,MORTGAGE,0.282,0
46,37287.6,0.2,774,17637.46,24,7880.67,3,debt_consolidation,RENT,0.684,0
24,52663.13,2.6,561,1000.0,60,0.0,5,debt_consolidation,OWN,0.019,1
64,40714.71,8.3,596,17510.21,24,14373.15,2,debt_consolidation,MORTGAGE,0.783,0
63,39145.93,1.9,728,21138.7,36,5834.48,3,education,RENT,0.689,0
41,21422.04,0.3,673,21490.08,36,11548.09,4,education,MORTGAGE,1.542,0
52,30108.03,6.5,630,15051.17,12,17859.63,2,education,MORTGAGE,1.093,0
25,71768.36,3.9,630,22257.14,36,6814.43,7,debt_consolidation,MORTGAGE,0.405,0
55,61659.08,3.1,513,9420.4,24,4230.01,7,debt_consolidation,MORTGAGE,0.221,1
26,66637.07,24.2,540,26599.92,24,17743.66,4,education,RENT,0.665,1
29,53837.78,4.3,644,17255.69,36,25075.26,0,medical,RENT,0.786,0
52,66118.89,13.8,687,7996.37,36,4520.38,2,debt_consolidation,OWN,0.189,0
42,23142.76,15.6,619,17146.19,12,16740.74,2,medical,MORTGAGE,1.464,0
38,33267.73,5.9,814,3329.41,48,16546.7,3,home_improvement,RENT,0.597,0
56,58733.26,0.3,711,17288.84,36,6514.15,1,auto,RENT,0.405,0
49,16740.56,3.7,584,17572.85,24,2340.54,0,home_improvement,MORTGAGE,1.19,1
43,26462.29,6.3,680,6565.64,24,0.0,3,auto,RENT,0.248,0
59,83887.51,4.7,616,12281.72,36,0.0,4,debt_consolidation,RENT,0.146,0
36,55663.55,14.6,521,14844.54,12,5249.87,4,auto,MORTGAGE,0.361,0
46,21114.55,2.9,574,24436.36,24,5612.05,2,home_improvement,RENT,1.423,1
61,66882.48,5.0,585,17076.28,48,8009.26,4,debt_consolidation,MORTGAGE,0.375,0
46,,3.5,644,27783.42,36,17710.27,3,debt_consolidation,MORTGAGE,0.711,0
45,72007.83,10.1,652,17589.28,24,8335.47,2,debt_consolidation,OWN,0.36,0
54,69410.89,4.2,618,28019.68,24,11042.99,4,small_business,RENT,0.563,0
31,48322.21,2.2,694,15571.86,12,8727.56,3,debt_consolidation,MORTGAGE,0.503,0
57,12000.0,3.9,559,17435.38,12,16253.54,2,debt_consolidation,MORTGAGE,2.807,1
63,70577.96,12.5,610,7154.03,60,3521.38,4,auto,OWN,0.151,0
50,58324.43,5.1,637,28035.71,60,465.1,4,home_improvement,MORTGAGE,0.489,0
60,39597.45,0.2,600,8684.25,24,9688.24,4,auto,MORTGAGE,0.464,0
53,60756.59,16.1,583,5029.32,48,8149.82,3,home_improvement,RENT,0.217,0
63,44166.19,1.0,603,15558.46,24,6915.67,5,debt_consolidation,MORTGAGE,0.509,0
64,43424.43,9.0,503,2256.78,48,0.0,2,education,MORTGAGE,0.052,0
30,57277.97,10.6,651,32833.72,24,397.66,4,medical,RENT,0.58,1
45,78179.47,3.0,744,31179.6,36,0.0,1,medical,MORTGAGE,0.399,0
56,79454.73,6.3,670,21212.3,12,12516.25,7,auto,MORTGAGE,0.425,0
48,69756.3,5.2,690,12546.06,12,13887.3,5,home_improvement,MORTGAGE,0.379,0
34,54083.02,3.7,589,10206.3,48,6120.07,6,debt_consolidation,MORTGAGE,0.302,1
42,92298.55,1.7,789,24860.27,48,0.0,4,education,MORTGAGE,0.269,0
51,50119.06,1.2,802,2502.4,36,7640.6,1,home_improvement,MORTGAGE,0.202,0
58,54636.21,2.9,542,1000.0,60,13821.29,9,debt_consolidation,RENT,0.271,0
52,83321.14,3.6,457,10343.88,60,5833.88,5,debt_consolidation,MORTGAGE,0.194,1
64,12000.0,17.1,556,10957.81,60,13116.84,3,debt_consolidation,RENT,2.006,0
37,41955.62,1.5,591,6804.22,60,6645.36,0,medical,OWN,0.321,1
42,17437.54,19.0,679,12690.11,36,0.0,6,debt_consolidation,MORTGAGE,0.728,0
44,75957.16,20.2,600,1000.0,48,11058.0,6,education,OWN,0.159,0
29,51343.13,5.0,665,33840.56,48,7932.8,7,home_improvement,RENT,0.814,0
36,36761.63,2.6,570,5726.35,36,19413.7,3,debt_consolidation,RENT,0.684,0
44,82843.85,5.0,512,20818.04,36,10039.08,5,debt_consolidation,MORTGAGE,0.372,0
55,80225.73,2.6,650,14219.5,24,8658.84,2,medical,OWN,0.285,0
29,94773.28,4.8,584,14901.76,12,0.0,2,auto,OWN,0.157,1
32,14870.46,5.6,597,24325.78,24,12443.29,2,debt_consolidation,MORTGAGE,2.473,0
38,15179.29,3.5,670,21320.49,48,16901.38,3,home_improvement,RENT,2.518,0
40,56260.39,8.1,680,14758.44,12,9918.04,3,education,MORTGAGE,0.439,0
37,57191.33,0.9,710,18914.43,24,6694.39,8,home_improvement,OWN,0.448,0
45,38124.8,2.5,811,11764.51,48,0.0,3,debt_consolidation,MORTGAGE,0.309,0
55,27863.7,0.4,697,19517.89,60,5246.61,7,home_improvement,RENT,0.889,0
53,86798.46,1.4,681,14640.52,24,1995.08,4,education,MORTGAGE,0.192,0
36,54845.06,2.9,789,1020.45,36,6196.14,8,debt_consolidation,OWN,0.132,0
21,17492.67,7.3,672,5214.65,48,2865.85,4,education,MORTGAGE,0.462,0
37,76480.45,13.2,704,17332.2,36,5362.67,4,home_improvement,RENT,0.297,0
31,37618.54,10.6,562,16523.21,12,2218.45,3,debt_consolidation,RENT,0.498,1
57,53297.81,2.8,633,1501.19,24,6070.02,4,small_business,MORTGAGE,0.142,0
26,76296.14,1.7,574,11070.91,24,4997.02,2,small_business,MORTGAGE,0.211,1
55,43248.74,0.1,676,9729.4,60,6798.6,5,education,RENT,0.382,0
35,86564.17,0.7,564,6967.64,60,20947.83,4,home_improvement,OWN,0.322,1
23,23715.86,11.0,665,34505.21,36,14599.3,3,auto,RENT,2.071,0
63,80621.53,1.4,794,12776.79,24,22419.09,5,debt_consolidation,MORTGAGE,0.437,0
59,42394.05,3.9,668,2683.32,36,14726.83,2,medical,RENT,0.411,0
28,44730.33,3.0,692,18593.42,60,4270.03,5,home_improvement,MORTGAGE,0.511,0
28,49066.19,7.3,754,16981.02,48,3254.28,5,medical,MORTGAGE,0.412,0
52,44818.05,0.5,567,17341.55,48,15202.94,4,auto,MORTGAGE,0.726,1
36,87114.1,7.3,590,9564.13,48,9569.71,1,auto,RENT,0.22,0
22,42982.3,0.9,680,11175.66,48,10098.71,4,medical,MORTGAGE,0.495,0
30,43949.95,8.5,720,10729.98,36,20052.01,8,medical,RENT,0.7,0
61,122362.83,3.1,563,7947.73,24,10609.32,6,medical,RENT,0.152,0
58,73240.86,14.6,614,3941.01,24,0.0,6,debt_consolidation,MORTGAGE,0.054,0
64,85519.66,2.2,749,9020.56,36,1289.89,1,small_business,MORTGAGE,0.121,0
31,68356.88,0.3,575,10682.64,12,11368.67,10,auto,MORTGAGE,0.323,1
42,49269.03,2.1,585,14934.55,36,13718.21,4,education,RENT,0.582,1
60,97823.94,4.6,762,8513.39,60,5677.09,2,education,RENT,0.145,0
46,85149.01,13.1,596,8518.72,60,3826.88,6,auto,MORTGAGE,0.145,1
62,71799.0,10.9,678,33946.45,60,9609.59,4,debt_consolidation,RENT,0.607,0
45,71984.47,1.4,737,16922.05,36,5579.03,7,small_business,OWN,0.313,0
22,92433.46,0.2,571,5430.45,12,6344.11,3,medical,MORTGAGE,0.127,1
41,28179.48,0.0,617,2601.81,36,10453.06,4,home_improvement,RENT,0.463,0
31,66439.98,1.7,463,13163.02,24,18074.15,2,home_improvement,RENT,0.47,1
31,28865.92,0.4,616,7937.92,36,9023.33,3,auto,OWN,0.588,0
59,56090.73,2.1,537,12934.77,36,10512.29,4,auto,RENT,0.418,1
54,45739.34,0.9,651,13696.57,36,0.0,5,auto,MORTGAGE,0.299,0
52,49056.48,0.9,632,26511.75,24,1765.12,3,debt_consolidation,OWN,0.576,0
48,53724.35,28.3,737,32899.38,24,16178.29,5,home_improvement,OWN,0.914,0
21,72444.57,5.6,568,2740.25,36,0.0,2,home_improvement,MORTGAGE,0.038,1
50,43383.19,5.5,615,14970.53,36,0.0,2,home_improvement,MORTGAGE,0.345,1
50,,4.1,653,21666.81,60,5328.89,1,debt_consolidation,RENT,0.858,0
44,101592.83,4.1,579,13998.36,48,13193.35,5,small_business,OWN,0.268,1
57,51615.83,0.1,850,7588.3,36,3636.82,6,home_improvement,MORTGAGE,0.217,0
59,51786.09,3.5,664,1000.0,36,2031.01,7,debt_consolidation,RENT,0.059,0
52,45500.49,3.3,591,25588.41,36,6288.55,2,debt_consolidation,OWN,0.701,1
49,63826.23,1.7,625,18834.42,48,0.0,3,education,RENT,0.295,0
22,53657.04,6.8,730,36838.17,36,16857.14,7,education,OWN,1.001,0
36,30512.8,0.7,576,35452.83,24,3476.18,7,auto,OWN,1.276,1
52,61232.59,1.9,577,4271.76,36,0.0,9,auto,RENT,0.07,0
41,30424.37,0.5,646,26452.47,36,16701.32,1,debt_consolidation,OWN,1.418,1
60,65944.68,1.8,551,32350.32,48,14667.15,3,debt_consolidation,MORTGAGE,0.713,0
21,60060.21,8.1,363,1254.13,48,13658.1,5,medical,MORTGAGE,0.248,1
28,44356.16,0.4,757,10503.28,12,6461.45,10,auto,MORTGAGE,0.382,0
41,68933.95,1.1,690,19552.86,12,10414.11,10,debt_consolidation,MORTGAGE,0.435,0
54,43079.63,2.7,596,21313.85,12,19818.22,2,small_business,MORTGAGE,0.955,0
61,,0.3,519,20884.5,48,11014.93,5,debt_consolidation,RENT,0.474,1
60,98057.84,1.2,533,16249.99,36,2672.72,4,debt_consolidation,MORTGAGE,0.193,1
53,56836.58,7.4,549,17044.2,36,0.0,5,home_improvement,RENT,0.3,0
42,61690.78,0.8,654,5358.23,60,13353.26,7,education,MORTGAGE,0.303,0
30,70744.48,,653,10793.53,36,3999.29,7,home_improvement,OWN,0.209,0
39,67714.03,0.7,515,27770.26,48,11409.17,6,auto,OWN,0.579,1
48,85133.59,4.7,566,27904.51,12,0.0,3,home_improvement,RENT,0.328,1
39,69005.12,2.7,588,1000.0,36,397.39,6,debt_consolidation,MORTGAGE,0.02,0
62,36613.23,1.2,650,24514.61,60,9248.85,1,debt_consolidation,MORTGAGE,0.922,0
59,43254.0,14.6,595,14271.68,36,14329.35,4,education,MORTGAGE,0.661,0
33,73052.22,16.6,629,29176.24,24,11926.87,7,home_improvement,RENT,0.563,0
64,14975.23,0.0,616,16432.59,48,6802.02,3,debt_consolidation,MORTGAGE,1.552,0
32,26785.03,0.7,628,7449.28,36,21679.07,6,debt_consolidation,RENT,1.087,0
64,70953.33,5.6,585,15744.3,48,5574.66,3,medical,RENT,0.3,0
33,51471.84,,631,11724.8,24,7485.48,4,medical,OWN,0.373,0
32,61028.6,0.6,559,41024.93,24,9125.45,3,auto,MORTGAGE,0.822,1
46,50022.26,12.4,626,10551.25,48,1189.63,3,auto,RENT,0.235,0
50,79426.65,25.9,649,5800.77,60,8196.12,1,auto,RENT,0.176,0
42,28919.83,0.3,727,15539.22,48,1052.71,5,debt_consolidation,RENT,0.574,0
58,101283.73,7.9,650,11339.02,36,10428.66,5,debt_consolidation,OWN,0.215,0
25,64003.68,9.9,626,25634.07,24,6636.03,10,debt_consolidation,MORTGAGE,0.504,0
22,33783.11,0.6,757,8433.56,48,2765.37,6,small_business,OWN,0.331,0
22,78708.33,9.1,577,7955.19,36,5263.55,2,small_business,RENT,0.168,0
27,69885.16,1.1,619,20175.97,36,3389.44,0,debt_consolidation,RENT,0.337,0
40,61215.96,2.4,609,17070.5,12,7342.24,6,small_business,MORTGAGE,0.399,0
50,51406.94,,633,25385.05,36,12107.45,7,education,MORTGAGE,0.729,0
62,32707.05,0.3,613,10733.72,24,2543.75,3,debt_consolidation,OWN,0.406,0
43,36779.73,4.5,680,2975.97,24,21675.88,1,home_improvement,MORTGAGE,0.67,0
21,84615.92,3.1,721,11180.44,48,17653.33,9,small_business,RENT,0.341,0
37,50929.1,3.8,593,8689.39,24,2667.74,3,medical,RENT,0.223,0
38,66856.22,12.3,796,1000.0,48,11528.98,5,home_improvement,MORTGAGE,0.187,0
55,48993.57,14.2,760,7128.24,60,4854.09,5,small_business,OWN,0.245,0
41,49765.24,6.0,737,21840.97,48,13354.26,1,home_improvement,MORTGAGE,0.707,0
32,64249.95,3.2,701,15497.3,24,8217.84,6,home_improvement,MORTGAGE,0.369,0
60,79353.22,16.4,592,28360.13,24,2823.14,0,debt_consolidation,MORTGAGE,0.393,0
32,46725.09,1.5,681,6940.46,36,0.0,3,medical,MORTGAGE,0.149,0
60,42214.79,2.0,635,2206.82,36,335.49,3,debt_consolidation,RENT,0.06,0
53,66170.67,8.4,615,30226.51,48,10293.98,4,auto,RENT,0.612,0
49,30840.8,10.1,440,10145.42,36,17344.34,0,home_improvement,MORTGAGE,0.891,1
61,12000.0,2.4,584,3567.91,24,4726.68,3,debt_consolidation,RENT,0.691,1
52,55468.17,2.2,604,3336.18,24,8787.61,5,debt_consolidation,RENT,0.219,0
54,12000.0,2.5,689,22877.61,36,14710.99,5,debt_consolidation,RENT,3.132,0
57,80461.62,2.0,576,30355.97,48,13152.4,5,home_improvement,MORTGAGE,0.541,0
41,21278.49,2.6,620,21655.91,60,294.29,1,home_improvement,MORTGAGE,1.032,0
43,45007.83,8.8,623,24033.22,36,7152.86,1,home_improvement,RENT,0.693,1
31,72189.97,,613,22199.35,48,13299.55,3,home_improvement,RENT,0.492,0
61,43590.62,2.6,617,13373.01,48,19896.11,1,debt_consolidation,RENT,0.763,0
32,54015.65,2.7,608,17427.01,48,12556.25,4,education,RENT,0.555,1
43,20840.0,1.6,651,27711.43,12,12989.26,2,medical,OWN,1.953,0
56,28752.68,6.6,538,5280.81,24,0.0,7,auto,RENT,0.184,1
55,38811.11,0.1,844,9828.69,36,8375.93,5,debt_consolidation,RENT,0.469,0
58,48033.7,0.6,569,11339.98,12,5306.24,2,education,OWN,0.347,1
58,43305.75,5.2,555,26842.99,12,5404.55,1,debt_consolidation,RENT,0.745,0
53,58187.09,2.5,599,12344.75,24,3983.07,5,medical,MORTGAGE,0.281,0
43,62653.93,1.0,583,28784.78,48,11789.81,1,education,MORTGAGE,0.648,1
55,12000.0,3.7,652,15902.61,36,6750.84,6,education,MORTGAGE,1.888,1
23,88747.52,6.0,660,1000.0,24,8369.58,5,medical,MORTGAGE,0.106,0
33,74087.91,18.6,622,13952.36,36,9067.94,7,small_business,RENT,0.311,0
31,29596.72,5.3,753,20934.07,48,17009.81,6,medical,OWN,1.282,0
34,44694.46,1.3,566,22012.69,24,13999.86,5,home_improvement,MORTGAGE,0.806,0
33,88286.2,6.1,734,26511.36,48,9989.6,7,home_improvement,OWN,0.413,0
32,24888.5,3.0,815,30047.67,24,10302.94,7,debt_consolidation,MORTGAGE,1.621,0
36,52994.28,1.7,686,23711.76,48,3888.88,3,education,OWN,0.521,0
52,12000.0,1.3,538,1000.0,24,10105.22,3,education,RENT,0.925,0
37,35324.68,4.0,641,17433.67,36,8348.38,2,education,RENT,0.73,0
53,91984.03,4.6,497,1000.0,36,4829.62,4,small_business,MORTGAGE,0.063,1
47,19164.42,0.3,726,24427.47,12,10668.82,6,debt_consolidation,RENT,1.831,0
52,50402.87,0.6,679,1000.0,48,14346.61,6,home_improvement,MORTGAGE,0.304,0
24,20053.78,7.1,657,14427.36,60,7414.31,6,debt_consolidation,RENT,1.089,0
31,45536.55,3.6,730,23481.68,24,143.47,0,debt_consolidation,OWN,0.519,0
31,58308.92,0.4,663,7481.31,36,5799.58,3,debt_consolidation,OWN,0.228,0
21,62805.13,5.1,623,6865.3,36,7295.49,3,home_improvement,RENT,0.225,1
40,50939.14,6.3,592,1000.0,48,1597.82,3,small_business,MORTGAGE,0.051,1
32,27073.31,6.7,548,1000.0,24,14062.65,5,debt_consolidation,RENT,0.556,0
52,75494.57,3.2,682,11300.27,24,18194.87,7,medical,RENT,0.391,0
23,80456.12,0.7,617,12869.15,60,8597.35,4,home_improvement,MORTGAGE,0.267,0
46,74461.35,1.4,641,15911.05,60,1967.19,6,debt_consolidation,MORTGAGE,0.24,0
36,49743.92,2.6,620,7557.17,12,18294.2,2,education,MORTGAGE,0.52,0
32,41412.6,2.1,496,12760.37,36,0.0,2,debt_consolidation,RENT,0.308,1
32,37281.82,1.8,606,9413.4,24,2341.94,0,auto,RENT,0.315,0
47,37021.92,2.2,660,13205.01,36,0.0,3,small_business,RENT,0.357,0
52,82378.96,1.9,423,10552.19,24,0.0,5,debt_consolidation,MORTGAGE,0.128,1
62,,0.7,568,20576.97,24,14305.33,2,small_business,OWN,0.688,1
45,57781.88,1.0,615,1000.0,36,0.0,5,auto,RENT,0.017,0
42,106229.62,8.7,670,22420.07,36,443.77,5,auto,RENT,0.215,0
27,55245.11,6.0,703,17517.73,60,17288.45,3,debt_consolidation,RENT,0.63,0
43,75626.32,3.0,675,36655.1,36,17225.6,4,medical,OWN,0.712,0
47,56407.05,10.3,572,7056.96,24,2577.17,5,medical,MORTGAGE,0.171,0
40,53116.62,2.5,640,30167.01,24,6561.48,3,debt_consolidation,RENT,0.691,1
50,55509.05,4.6,675,20057.47,48,20675.12,2,small_business,RENT,0.734,0
32,83305.14,15.2,479,1000.0,24,13114.45,5,home_improvement,MORTGAGE,0.169,1
62,44534.48,5.6,680,1000.0,24,1805.21,5,debt_consolidation,MORTGAGE,0.063,0
36,56950.23,17.4,623,7567.8,12,10792.06,5,debt_consolidation,MORTGAGE,0.322,0
32,74803.89,0.0,591,1000.0,24,12667.63,3,education,MORTGAGE,0.183,0
34,21594.12,4.2,678,21790.28,48,7158.91,2,small_business,MORTGAGE,1.341,0
43,45964.41,13.5,580,16940.4,60,81.56,4,small_business,MORTGAGE,0.37,0
57,53621.55,7.0,501,19873.0,36,7683.07,6,home_improvement,MORTGAGE,0.514,0
54,37017.18,5.0,592,24895.22,36,8237.59,1,auto,RENT,0.895,1
57,59547.93,0.4,696,20671.62,12,8987.35,4,debt_consolidation,RENT,0.498,0
34,44454.59,4.7,625,21676.28,36,6036.18,5,debt_consolidation,RENT,0.623,0
56,67475.22,1.3,683,12849.61,36,0.0,6,auto,MORTGAGE,0.19,0
49,61420.96,,552,11206.62,12,0.0,6,medical,OWN,0.182,0
58,50035.55,22.1,687,12303.44,12,2593.07,4,debt_consolidation,RENT,0.298,0
39,30416.8,0.7,597,8423.55,48,0.0,0,auto,RENT,0.277,0
49,78633.44,1.4,566,27254.47,48,6532.25,3,debt_consolidation,MORTGAGE,0.43,1
25,48064.17,2.0,650,17723.65,24,2223.19,3,home_improvement,MORTGAGE,0.415,1
59,49692.92,0.5,613,7727.79,24,1898.67,7,debt_consolidation,RENT,0.194,0
22,27140.51,3.7,485,4303.18,12,20364.13,4,auto,OWN,0.909,1
33,43067.81,7.5,629,32707.87,48,6404.87,7,debt_consolidation,RENT,0.908,1
21,48498.09,0.3,570,1000.0,36,16971.29,4,small_business,OWN,0.371,1
49,48817.57,7.6,706,17239.53,36,5057.6,3,debt_consolidation,MORTGAGE,0.457,0
29,47957.98,2.1,649,1000.0,36,9427.28,3,auto,OWN,0.217,0
27,51090.73,2.7,794,22297.76,24,10872.94,6,auto,MORTGAGE,0.649,0
35,28965.06,1.3,776,5489.61,60,8159.04,3,auto,OWN,0.471,0
28,73212.7,0.4,656,29478.42,12,10625.93,2,small_business,RENT,0.548,0
49,47069.59,3.2,603,37567.46,12,10329.2,1,auto,OWN,1.018,1
45,40302.45,5.9,703,9623.06,60,0.0,6,auto,RENT,0.239,0
44,65005.49,7.0,791,12837.29,12,7888.17,6,debt_consolidation,OWN,0.319,0
47,71157.88,8.8,689,7442.78,24,15322.58,6,medical,OWN,0.32,0
36,62902.61,1.2,792,22674.12,24,9714.44,6,home_improvement,MORTGAGE,0.515,0
41,55793.39,9.7,623,6200.0,24,1416.25,10,medical,MORTGAGE,0.137,0
25,86717.77,5.8,619,20375.73,24,21229.1,1,small_business,MORTGAGE,0.48,1
58,81980.91,3.5,722,23855.31,48,0.0,6,small_business,OWN,0.291,0
53,60044.91,19.9,577,23464.2,24,8357.24,3,debt_consolidation,RENT,0.53,0
63,37039.11,4.5,755,4702.68,36,8983.67,2,medical,MORTGAGE,0.37,0
29,55716.66,9.0,703,17875.99,12,6864.4,5,auto,MORTGAGE,0.444,0
38,63254.77,11.3,610,6652.41,36,13217.05,2,debt_consolidation,MORTGAGE,0.314,0
34,45804.8,2.5,709,25342.23,60,1280.37,4,medical,MORTGAGE,0.581,0
52,83212.0,10.6,614,24487.14,24,10875.18,8,small_business,OWN,0.425,0
21,71118.29,1.5,712,1000.0,24,10269.86,9,debt_consolidation,RENT,0.158,0
57,62778.05,0.9,627,11397.68,24,11908.08,5,auto,MORTGAGE,0.371,0
62,82450.65,9.9,661,8403.89,36,8873.12,5,medical,OWN,0.21,0
28,79289.08,2.0,634,10637.99,48,11483.11,2,home_improvement,RENT,0.279,0
30,55315.31,,638,18824.08,48,10145.46,2,debt_consolidation,MORTGAGE,0.524,1
28,35795.55,4.0,458,14672.61,36,7098.95,1,small_business,RENT,0.608,1
44,74886.3,7.0,697,2380.24,36,15264.9,5,debt_consolidation,MORTGAGE,0.236,0
59,62956.88,6.5,625,15911.79,48,3762.4,3,small_business,MORTGAGE,0.313,0
32,40359.32,5.0,699,16438.57,48,637.23,5,auto,RENT,0.423,0
60,12000.0,2.9,641,11977.96,12,12274.01,1,education,MORTGAGE,2.021,0
28,63872.61,3.0,649,37172.01,12,6288.83,6,small_business,RENT,0.68,0
50,59213.86,6.7,531,10419.21,60,4677.87,5,education,RENT,0.255,1
29,55682.99,1.3,575,10730.83,36,10968.71,2,medical,OWN,0.39,1
64,55090.05,,650,20690.69,48,10904.77,6,home_improvement,RENT,0.574,0
